year_month,feature,monthly_event_pred_mean,monthly_direction_acc_mean,days_in_month,monthly_success_rate
2019-04,cci20,-0.029411764705882353,0.5,17,0.014705882352941176
2019-04,rsi10,-0.029411764705882353,0.5,17,0.014705882352941176
2019-04,stochk14,-0.029411764705882353,0.4411764705882353,17,0.012975778546712802
2019-04,willr14,-0.029411764705882353,0.4411764705882353,17,0.012975778546712802
2019-04,vol_roc5,0.01960784313725491,0.5588235294117647,17,0.010957324106113038
2019-04,corr_close_vol20,-0.0196078431372549,0.5588235294117647,17,0.010957324106113034
2019-04,cmf20,0.0196078431372549,0.5,17,0.00980392156862745
2019-04,mfi14,-0.0196078431372549,0.5,17,0.00980392156862745
2019-04,rsi14,-0.0196078431372549,0.5,17,0.00980392156862745
2019-04,roc10,0.019607843137254898,0.5,17,0.009803921568627449
2019-04,sma20,-0.0196078431372549,0.4411764705882353,17,0.008650519031141867
2019-04,vwap20,-0.0196078431372549,0.4411764705882353,17,0.008650519031141867
2019-04,don20_hi,-0.0196078431372549,0.4411764705882353,17,0.008650519031141867
2019-04,vwap10,0.0196078431372549,0.4411764705882353,17,0.008650519031141867
2019-04,don20_lo,-0.0196078431372549,0.4411764705882353,17,0.008650519031141867
2019-04,macd_hist,-0.009803921568627458,0.5,17,0.004901960784313729
2019-04,roc5,0.009803921568627449,0.5,17,0.0049019607843137246
2019-04,ret_5,0.009803921568627449,0.5,17,0.0049019607843137246
2019-04,sma5,0.0,0.4411764705882353,17,0.0
2019-04,stochk5,0.0,0.5,17,0.0
2019-04,ema10,0.0,0.4411764705882353,17,0.0
2019-04,ema20,0.0,0.4411764705882353,17,0.0
2019-04,stochd14,0.0,0.5,17,0.0
2019-04,pos_in_don20,0.0,0.5,17,0.0
2019-04,logret_1,0.0,0.5,17,0.0
2019-04,sma10,0.0,0.4411764705882353,17,0.0
2019-04,ema5,0.0,0.4411764705882353,17,0.0
2019-04,ema50,0.0,0.4411764705882353,17,0.0
2020-01,rel_range,0.15833333333333335,0.425,20,0.06729166666666668
2020-01,parkinson20,0.11666666666666667,0.475,20,0.05541666666666666
2020-01,gk20,0.1,0.475,20,0.0475
2020-01,obv,0.1,0.475,20,0.0475
2020-01,vol10,0.1,0.425,20,0.0425
2020-01,corr_obv_vwap20,-0.06896607327141384,0.525,20,0.03620718846749227
2020-01,vol20,0.075,0.425,20,0.031875
2020-01,ema12_26_rel,0.06666666666666667,0.475,20,0.03166666666666666
2020-01,rsi14,0.06666666666666667,0.475,20,0.03166666666666666
2020-01,rsi6,0.05833333333333333,0.475,20,0.027708333333333328
2020-01,vol_z20,0.05833333333333333,0.475,20,0.027708333333333328
2020-01,ema50,-0.05,0.525,20,0.026250000000000002
2020-01,pos_in_don20,0.05277777777777778,0.475,20,0.025069444444444443
2020-01,rsi5,0.05,0.475,20,0.02375
2020-01,mfi14,0.049999999999999996,0.475,20,0.023749999999999997
2020-01,rsi10,0.049999999999999996,0.475,20,0.023749999999999997
2020-01,dev_sma20,0.04880952380952381,0.475,20,0.023184523809523808
2020-01,tr14,0.041666666666666664,0.525,20,0.021875
2020-01,ema20,-0.041666666666666664,0.525,20,0.021875
2020-01,vol_roc5,0.049999999999999996,0.425,20,0.021249999999999998
2020-01,stochk5,0.041666666666666664,0.475,20,0.019791666666666666
2020-01,ema10,-0.033333333333333326,0.525,20,0.017499999999999998
2020-01,don20_lo,-0.033333333333333326,0.525,20,0.017499999999999998
2020-01,dev_ema20,0.03333333333333333,0.475,20,0.01583333333333333
2020-01,roc20,0.03333333333333333,0.475,20,0.01583333333333333
2020-01,roc10,0.03333333333333333,0.475,20,0.01583333333333333
2020-01,stochk14,0.03333333333333333,0.475,20,0.01583333333333333
2020-01,sma20,-0.024999999999999998,0.525,20,0.013125
2020-01,atr14,0.024999999999999994,0.525,20,0.013124999999999998
2020-01,atr5,0.024999999999999994,0.525,20,0.013124999999999998
2020-01,logret_1,0.02767857142857143,0.425,20,0.011763392857142858
2020-01,cci20,0.023809523809523808,0.475,20,0.011309523809523808
2020-01,don55_lo,0.024941724941724936,0.425,20,0.010600233100233097
2020-01,sma10,-0.016666666666666666,0.525,20,0.00875
2020-01,stochd14,0.016666666666666666,0.525,20,0.00875
2020-01,ma_squeeze_20_50,0.017708333333333333,0.475,20,0.008411458333333333
2020-01,corr_close_vol20,-0.01589664420546774,0.475,20,0.007550905997597177
2020-01,macd_signal,-0.008333333333333335,0.575,20,0.004791666666666667
2020-01,macd,-0.008333333333333335,0.575,20,0.004791666666666667
2020-01,roc5,-0.009523809523809521,0.475,20,0.004523809523809522
2020-01,ret_5,-0.009523809523809521,0.475,20,0.004523809523809522
2020-01,ema5,-0.008333333333333335,0.525,20,0.004375000000000001
2020-01,sma5,-0.008333333333333335,0.525,20,0.004375000000000001
2020-01,vwap10,-0.008333333333333335,0.525,20,0.004375000000000001
2020-01,cmf20,0.008333333333333333,0.525,20,0.004375
2020-01,macd_hist,-0.008333333333333333,0.525,20,0.004375
2020-01,don20_hi,0.00833333333333333,0.525,20,0.004374999999999999
2020-01,atr10,0.00833333333333333,0.525,20,0.004374999999999999
2020-01,willr14,-0.008333333333333333,0.475,20,0.003958333333333333
2020-01,don55_hi,0.00827505827505827,0.425,20,0.0035168997668997646
2020-01,curv5,-0.005952380952380952,0.425,20,0.0025297619047619044
2020-01,sma50,-0.0033712121212121277,0.425,20,0.0014327651515151543
2020-01,vwap20,-2.7755575615628915e-18,0.525,20,1.4571677198205181e-18
2020-02,vol10,0.18166666666666667,0.5,20,0.09083333333333334
2020-02,rel_range,0.16,0.5,20,0.08
2020-02,parkinson20,0.13999999999999999,0.5,20,0.06999999999999999
2020-02,vol20,0.13333333333333333,0.5,20,0.06666666666666667
2020-02,rsi10,0.12666666666666665,0.5,20,0.06333333333333332
2020-02,gk20,0.12333333333333334,0.5,20,0.06166666666666667
2020-02,atr10,0.10500000000000001,0.5,20,0.052500000000000005
2020-02,rsi6,0.09833333333333333,0.5,20,0.049166666666666664
2020-02,rsi14,0.09833333333333331,0.5,20,0.04916666666666666
2020-02,stochd14,0.09833333333333331,0.5,20,0.04916666666666666
2020-02,atr5,0.095,0.5,20,0.0475
2020-02,roc10,0.095,0.5,20,0.0475
2020-02,mfi14,0.09166666666666665,0.5,20,0.04583333333333332
2020-02,atr14,0.08833333333333333,0.5,20,0.04416666666666667
2020-02,tr14,0.08833333333333333,0.5,20,0.04416666666666667
2020-02,macd_hist,0.08666666666666667,0.5,20,0.043333333333333335
2020-02,vol_roc5,0.08666666666666664,0.5,20,0.04333333333333332
2020-02,obv,0.08166666666666667,0.5,20,0.04083333333333333
2020-02,rsi5,0.07999999999999999,0.5,20,0.039999999999999994
